1,Appetizers,Chips & Dip (Pick 2),8.00
2,Appetizers,Buffalo Blue Chips,6.00
3,Appetizers,Chicken Nachos,8.50
4,Appetizers,Pork Nachos,8.50
5,Appetizers,Pork or Chicken Sliders (3),5.00
6,Appetizers,Catfish Bites,6.50
7,Appetizers,Fried Veggies,6.50
8,Appetizers,Fried Cheese,7.50
9,Appetizers,Cheesestick Trio,14.00
10,Appetizers,Chicken Quesadilla,7.50
11,Appetizers,Cast Iron Skillet Meatballs,12.00
12,Appetizers,Wings,10.00
13,Salads,House Salad (Side),5.00
14,Salads,House Salad (Main),7.50
15,Salads,Wedge Salad,7.50
16,Salads,Caesar Salad (Side),5.00
17,Salads,Caesar Salad (Main),7.50
18,Salads,Sweet Potato Chicken Salad,11.50
19,Entrees,Shrimp & Grits,13.50
20,Entrees,Sweet Tea Fried Chicken,11.50
21,Entrees,Caribbean Chicken,11.50
22,Entrees,Grilled Pork Chops,11.00
23,Entrees,12oz New York Strike Steak,17.00
24,Entrees,Seared Tuna,15.00
25,J's Favorites,Captain Crunch Chicken Tenders,11.50
26,J's Favorites,Shock Top Grouper Fingers,11.50
27,J's Favorites,Mac & Cheese Bar,8.50
28,Sides,Curly Fries,0.00
29,Sides,Wing Chips,0.00
30,Sides,Sweet Potato Fries,1.50
31,Sides,Creamy Cabbage Slaw,0.00
32,Sides,Adluh Cheese Grits,0.00
33,Sides,Mashed Potatoes,0.00
34,Sides,Mac & Cheese,0.00
35,Sides,Spicy Mac & Cheese,0.00
36,Sides,Bacon Mac & Cheese,0.00
37,Sides,Broccoli,0.00
38,Sides,Seasonal Vegetables,0.00
39,Sides,Baked Beans,0.00
40,Sides,Fried Okra,1.50
41,Sandwiches,Grilled Cheese,5.50
42,Sandwiches,100% Beef Hot Dog,5.50
43,Sandwiches,Chicken BLT&A,10.00
44,Sandwiches,Cordon Bleu,11.00
45,Sandwiches,Philly,13.50
46,Sandwiches,Pulled Pork,9.50
47,Sandwiches,Club,10.00
48,Sandwiches,Meatball Sub,10.00
49,Sandwiches,Po Boy,11.50
50,Wraps,Club,10.00
51,Wraps,Chicken BLT&A,10.00
52,Wraps,Veggie,10.00
53,Wraps,Chicken Caesar,10.00
54,Burgers,J's Burger,10.00
55,Burgers,Bacon Cheeseburger,11.00
56,Burgers,Mushroom Swiss Burger,11.00
57,Burgers,Carolina Burger,11.00
58,Burgers,Portobello Burger (V),8.50
59,Burgers,Vegan Boca Burger (V),10.50
60,Beverages,Coffee,2.00
61,Beverages,Sweet Tea,2.00
62,Beverages,Unsweet Tea,2.00
63,Beverages,Coke,2.00
64,Beverages,Diet Coke,2.00
65,Beverages,Sprite,2.00
66,Beverages,Mr. Pibb,2.00
67,Beverages,Ginger Ale,2.00
68,Beverages,Barq's Root Beer (Can),2.00
69,Beverages,Bottled Water,2.00
70,Beverages,Lemonade,2.00
71,Beverages,Milk,2.00
72,Beverages,Chocolate Milk,2.00
73,Beverages,Orange Juice,2.00
